BESCHRIJVING DECLARATIE,REFERENTIE FACTUUR,DATUM FACTUUR - extracted,LEVERANCIER - EXTRACTED,BETAALD BEDRAG - extracted from invoice,VALUTA - extracted from invoice,BETAALD BEDRAG - declared ,LEVERANCIER - DECLARED,KOSTENRUBRIEK - declared,DATUM FACTUUR - DECLARED,DECLARATIEDATUM (can be assumed to be close to payment date),FLC: REDEN VERWERPING,double,late,amount,supplier,category,eligible,pred.double,latest,pred.late,pred.amount,pred.supplier,pred.category,pred.eligible
hiring a consultant for financial analysis,,2021-03-21,Financial Consultant,4363.189651666005,euro ,4363.189651666005,Financial Consultant,external services,2021-03-21,2021-10-03,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2021-09-21,1,0,0,0,0
procurement of specialized machinery,,2022-01-05,Machinery Co.,6420.714779819701,euro ,6420.714779819701,Machinery Co.,equipment,2022-01-05,2022-03-18,,0,0,0,0,0,0,0,2022-07-05,0,0,0,0,0
purchase of land for constructing project facility,,2019-09-01,Real Estate Agency,20516.2580365179,euro ,20516.2580365179,Real Estate Agency,infrastructure and building,2019-09-01,2020-03-07,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2020-03-01,1,0,0,0,0
subscription fees for project management software,,2021-02-18,Software Provider,800.9619822571549,euro ,800.9619822571549,Software Provider,preparation costs,2021-02-18,2021-03-03,,0,0,0,0,0,0,0,2021-08-18,0,0,0,0,0
public transportation expenses for attending project meetings,,2021-09-28,Transit Company,219.7072887134857,euro ,219.7072887134857,Transit Company,travel costs,2021-09-28,2021-10-04,,0,0,0,0,0,0,0,2022-03-28,0,0,0,0,0
marketing consultancy for project promotion,,2019-09-10,Marketing Agency,3170.812167384718,euro ,3170.812167384718,Marketing Agency,external services,2019-09-10,2019-11-17,,0,0,0,0,0,0,0,2020-03-10,0,0,0,0,0
purchase of laboratory consumables,,2018-02-02,Lab Supplies Inc.,1098.722948726035,euro ,1098.722948726035,Lab Supplies Inc.,equipment,2018-02-02,2018-03-05,,0,0,0,0,0,0,0,2018-08-02,0,0,0,0,0
hiring contractors for electrical wiring,,2022-08-06,Electrical Co.,4872.536942259044,euro ,4872.536942259044,Electrical Co.,infrastructure and building,2022-08-06,2022-08-18,,0,0,0,0,0,0,0,2023-02-06,0,0,0,0,0
costs associated with preparing and printing project brochures,,2021-06-17,Marketing Materials Co.,627.8094942419355,euro ,627.8094942419355,Marketing Materials Co.,preparation costs,2021-06-17,2021-11-23,,0,0,0,0,0,0,0,2021-12-17,0,0,0,0,0
taxi fares for transportation to project-related events,,2019-06-15,Taxi Service,155.8017097733776,euro ,155.8017097733776,Taxi Service,travel costs,2019-06-15,2019-11-04,,0,0,0,0,0,0,0,2019-12-15,0,0,0,0,0
environmental impact assessment services,,2019-10-09,Environmental Consultants,2829.337427165725,euro ,2829.337427165725,Environmental Consultants,external services,2019-10-09,2020-03-31,,0,0,0,0,0,0,0,2020-04-09,0,0,0,0,0
procurement of fieldwork equipment,,2022-05-02,Fieldwork Supplies,2103.889921690242,euro ,2103.889921690242,Fieldwork Supplies,equipment,2022-05-02,2022-10-31,,0,0,0,0,0,0,0,2022-11-02,0,0,0,0,0
hiring a consultant to draft detailed project goals,,2020-03-07,Acme Consulting,3102.316432296462,euro ,3102.316432296462,Acme Consulting,preparation costs,2020-03-07,2020-05-06,,0,0,0,0,0,0,0,2020-09-07,0,0,0,0,0
printing and binding project proposal documents,,2021-09-16,PrintFast,546.8855291024221,euro ,546.8855291024221,PrintFast,preparation costs,2021-09-16,2022-01-17,,0,0,0,0,0,0,0,2022-03-16,0,0,0,0,0
round-trip airfare for project team to attend conference,,2020-08-11,AirlineX,2593.993012066469,euro ,2593.993012066469,AirlineX,travel costs,2020-08-11,2021-01-21,,0,0,0,0,0,0,0,2021-02-11,0,0,0,0,0
parking fees during a project site visit,,2019-01-21,City Parking,51.50794957164364,euro ,51.50794957164364,City Parking,travel costs,2019-01-21,2019-04-10,,0,0,0,0,0,0,0,2019-07-21,0,0,0,0,0
legal advice on project contract negotiation,,2022-05-28,Legal Solutions Inc.,2154.106280184628,euro ,2154.106280184628,Legal Solutions Inc.,external services,2022-05-28,2022-10-25,,0,0,0,0,0,0,0,2022-11-28,0,0,0,0,0
market research study on target demographics,,2019-06-03,Research Dynamics,1573.833166567956,euro ,1573.833166567956,Research Dynamics,external services,2019-06-03,2019-08-27,,0,0,0,0,0,0,0,2019-12-03,0,0,0,0,0
purchase of specialized laboratory equipment,,2020-04-30,Lab Supplies Co.,5048.190274007681,euro ,5048.190274007681,Lab Supplies Co.,equipment,2020-04-30,2020-09-15,,0,0,0,0,0,0,0,2020-10-30,0,0,0,0,0
acquisition of software licenses for data analysis,,2020-01-03,DataTech Solutions,3291.081966887913,euro ,3291.081966887913,DataTech Solutions,equipment,2020-01-03,2020-04-06,,0,0,0,0,0,0,0,2020-07-03,0,0,0,0,0
renovation of office space to accommodate project team,,2020-02-07,BuildPro Contractors,10278.4036453198,euro ,10278.4036453198,BuildPro Contractors,infrastructure and building,2020-02-07,2020-06-18,,0,0,0,0,0,0,0,2020-08-07,0,0,0,0,0
purchase of building materials for project construction,,2019-05-09,Building Mart,2102.771114761938,euro ,2102.771114761938,Building Mart,infrastructure and building,2019-05-09,2019-08-18,,0,0,0,0,0,0,0,2019-11-09,0,0,0,0,0
writing and submitting project requests,,2021-07-25,ProposalGenius,1079.049559339154,euro ,1079.049559339154,ProposalGenius,preparation costs,2021-07-25,2021-08-25,,0,0,0,0,0,0,0,2022-01-25,0,0,0,0,0
meal costs during a project planning retreat,,2019-01-12,CateringCo,833.7863467449056,euro ,833.7863467449056,CateringCo,travel costs,2019-01-12,2019-02-02,,0,0,0,0,0,0,0,2019-07-12,0,0,0,0,0
design and development of project website,,2018-01-05,WebDesign Studio,4018.143335858097,euro ,4018.143335858097,WebDesign Studio,external services,2018-01-05,2018-01-16,,0,0,0,0,0,0,0,2018-07-05,0,0,0,0,0
purchase of laboratory consumables,,2020-03-02,Lab Supplies Co.,1005.910496595905,euro ,1005.910496595905,Lab Supplies Co.,equipment,2020-03-02,2020-05-24,,0,0,0,0,0,0,0,2020-09-02,0,0,0,0,0
rental of conference room for project kick-off meeting,,2018-03-21,Conference Rentals,515.2110584661896,euro ,515.2110584661896,Conference Rentals,infrastructure and building,2018-03-21,2018-08-01,,0,0,0,0,0,0,0,2018-09-21,0,0,0,1,0
consultation fees for project feasibility assessment,,2020-09-27,Strategy Advisors,1598.511995744003,euro ,1598.511995744003,Strategy Advisors,preparation costs,2020-09-27,2021-03-19,,0,0,0,0,0,0,0,2021-03-27,0,0,0,1,0
train tickets for team members to visit project sites,,2018-11-01,Railways Inc.,1099.868647413196,euro ,1099.868647413196,Railways Inc.,travel costs,2018-11-01,2018-12-28,,0,0,0,0,0,0,0,2019-05-01,0,0,0,0,0
expert travel costs for consultant meetings,,2018-12-11,TravelWise Agency,1221.647350781645,euro ,1221.647350781645,TravelWise Agency,external services,2018-12-11,2019-01-11,,0,0,0,0,0,0,0,2019-06-11,0,0,0,0,0
acquisition of specialized machinery for manufacturing,,2020-09-16,MachineTech Co.,7133.085555672063,euro ,7133.085555672063,MachineTech Co.,equipment,2020-09-16,2021-02-08,,0,0,0,0,0,0,0,2021-03-16,0,0,0,0,0
purchase of office furniture for project headquarters,,2019-02-24,Office Furnishings Co,3088.810298767404,euro ,3088.810298767404,Office Furnishings Co,infrastructure and building,2019-02-24,2019-05-30,,0,0,0,0,0,0,0,2019-08-24,0,0,0,0,0
printing of promotional materials for project awareness,,2019-10-09,PrintWorks,859.2132089219513,euro ,859.2132089219513,PrintWorks,preparation costs,2019-10-09,2019-10-29,,0,0,0,0,0,0,0,2020-04-09,0,0,0,0,0
hotel costs for team attending a week-long workshop,,2020-08-09,HotelLux,4238.220347300829,euro ,4238.220347300829,HotelLux,travel costs,2020-08-09,2020-11-19,,0,0,0,0,0,0,0,2021-02-09,0,0,0,0,0
public relations services for project launch,,2019-08-29,PR Masters,2592.352202078135,euro ,2592.352202078135,PR Masters,external services,2019-08-29,2019-11-19,,0,0,0,0,0,0,0,2020-02-29,0,0,0,0,0
purchase of laboratory glassware,,2021-11-30,Lab Supplies Co.,812.4029398278718,euro ,812.4029398278718,Lab Supplies Co.,equipment,2021-11-30,2021-12-12,,0,0,0,0,0,0,0,2022-05-30,0,0,0,0,0
installation of security systems for project facility,,2019-01-05,SecureTech Solutions,6430.981171698547,euro ,6430.981171698547,SecureTech Solutions,infrastructure and building,2019-01-05,2019-04-29,,0,0,0,0,0,0,0,2019-07-05,0,0,0,0,0
salary costs for project coordinator during proposal drafting,,2022-06-27,HR Consultants,4068.732243877773,euro ,4068.732243877773,HR Consultants,preparation costs,2022-06-27,2022-12-01,,0,0,0,0,0,0,0,2022-12-27,0,0,0,0,0
taxi fares for team transportation during project review,,2021-05-20,City Cabs,319.6162418574705,euro ,319.6162418574705,City Cabs,travel costs,2021-05-20,2021-10-21,,0,0,0,0,0,0,0,2021-11-20,0,0,0,0,0
translation services for project documents,,2021-01-06,Lingua Franca,630.2445561308665,euro ,630.2445561308665,Language Experts,external services,2021-01-06,2021-05-11,,0,0,0,0,0,0,0,2021-07-06,0,0,1,0,0
acquisition of computer hardware for data processing,,2022-08-15,TechEmporium,2048.58983173656,euro ,2048.58983173656,TechEmporium,equipment,2022-08-15,2022-09-06,,0,0,0,0,0,0,0,2023-02-15,0,0,0,0,0
hiring a consultant to develop project proposal,,2021-03-20,ABC Consulting Firm,3106.930584771941,euro ,3106.930584771941,ABC Consulting Firm,preparation costs,2021-03-20,2021-07-27,,0,0,0,0,0,0,0,2021-09-20,0,0,0,0,0
round-trip flight for project team to attend conference,,2018-11-30,XYZ Airlines,5167.898095498806,euro ,5167.898095498806,XYZ Airlines,travel costs,2018-11-30,2019-04-16,,0,0,0,0,0,0,0,2019-05-30,0,0,0,0,0
legal advice for project contract negotiation,,2022-12-16,Law Office LLP,2173.886943496336,euro ,2173.886943496336,Law Office LLP,external services,2022-12-16,2023-01-28,,0,0,0,0,0,0,0,2023-06-16,0,0,0,0,0
purchase of laboratory equipment for research,,2018-03-01,Science Equipment Ltd.,10987.87949464944,euro ,10987.87949464944,Science Equipment Ltd.,equipment,2018-03-01,2018-06-12,,0,0,0,0,0,0,0,2018-09-01,0,0,0,0,0
renovation of office space for project headquarters,,2022-04-06,Construction Co.,16296.92917143963,euro ,16296.92917143963,Construction Co.,infrastructure and building,2022-04-06,2022-07-16,,0,0,0,0,0,0,0,2022-10-06,0,0,0,0,0
printing and binding of project proposal documents,,2019-08-02,Print Shop,540.4624128642682,euro ,540.4624128642682,Print Shop,preparation costs,2019-08-02,2020-01-21,,0,0,0,0,0,0,0,2020-02-02,0,0,0,0,0
rental car for site visits during project,,2020-03-12,Car Rental Company,1085.366929078676,euro ,1085.366929078676,Car Rental Company,travel costs,2020-03-12,2020-09-24,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2020-09-12,1,0,0,0,0
graphic design services for project promotional materials,,2020-12-02,Design Studio,1636.934656240469,euro ,1636.934656240469,Design Studio,external services,2020-12-02,2021-06-13,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2021-06-02,1,0,0,0,0
purchase of specialized software for data analysis,,2022-07-25,Tech Solutions Inc.,3275.351613532462,euro ,3275.351613532462,Tech Solutions Inc.,equipment,2022-07-25,2022-08-05,,0,0,0,0,0,0,0,2023-01-25,0,0,0,0,0
construction of test facility for project experiments,,2019-07-13,Engineering Firm,21354.65383340783,euro ,21354.65383340783,Engineering Firm,infrastructure and building,2019-07-13,2019-12-11,,0,0,0,0,0,0,0,2020-01-13,0,0,0,0,0
fee for project proposal review by experts,,2022-10-23,Review Board,1085.426473699398,euro ,1085.426473699398,Review Board,preparation costs,2022-10-23,2022-12-24,,0,0,0,0,0,0,0,2023-04-23,0,0,0,0,0
train tickets for team members to attend project meeting,,2020-05-27,National Rail,862.3378864902008,euro ,862.3378864902008,National Rail,travel costs,2020-05-27,2020-09-18,,0,0,0,0,0,0,0,2020-11-27,0,0,0,0,0
market research consultancy for project feasibility study,,2021-10-07,Market Analysis Ltd.,4101.227292497641,euro ,4101.227292497641,Market Analysis Ltd.,external services,2021-10-07,2022-04-13,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2022-04-07,1,0,0,0,0
acquisition of robotic arm for project automation,,2018-07-28,Robotics Technologies,12485.11907750568,euro ,12485.11907750568,Robotics Technologies,equipment,2018-07-28,2018-12-25,,0,0,0,0,0,0,0,2019-01-28,0,0,0,0,0
purchase of land for project expansion,,2019-04-19,Real Estate Agency,52541.31524564136,euro ,52541.31524564136,Real Estate Agency,infrastructure and building,2019-04-19,2019-09-29,,0,0,0,0,0,0,0,2019-10-19,0,0,0,0,0
payment for translation services for project documents,,2020-10-09,Language Solutions,717.291735329228,euro ,717.291735329228,Language Solutions,preparation costs,2020-10-09,2020-10-24,,0,0,0,0,0,0,0,2021-04-09,0,0,0,0,0
accommodation expenses for project team during fieldwork,,2019-06-25,Hotel Chain,3286.463656761687,euro ,3286.463656761687,Hotel Chain,travel costs,2019-06-25,2019-10-25,,0,0,0,0,0,0,0,2019-12-25,0,0,0,0,0
environmental impact assessment for project compliance,,2020-02-24,Environmental Consultancy,2539.090834805048,euro ,2539.090834805048,Environmental Consultancy,external services,2020-02-24,2020-07-04,,0,0,0,0,0,0,0,2020-08-24,0,0,0,0,0
procurement of high-performance computing servers,,2020-02-17,IT Solutions Provider,16442.15519980276,euro ,16442.15519980276,IT Solutions Provider,equipment,2020-02-17,2020-05-21,,0,0,0,0,0,0,0,2020-08-17,0,0,0,0,0
installation of solar panels for project sustainability,,2018-06-29,Renewable Energy Co.,18522.14126012872,euro ,18522.14126012872,Renewable Energy Co.,infrastructure and building,2018-06-29,2018-12-10,,0,0,0,0,0,0,0,2018-12-29,0,0,0,0,0
training workshop for project team on proposal writing,,2020-11-17,Training Institute,2685.48856838395,euro ,2685.48856838395,Training Institute,preparation costs,2020-11-17,2021-02-19,,0,0,0,0,0,0,0,2021-05-17,0,0,0,0,0
taxi fares for transportation during project activities,,2022-08-26,City Taxi Service,403.9141246987558,euro ,403.9141246987558,City Taxi Service,travel costs,2022-08-26,2022-10-16,,0,0,0,0,0,0,0,2023-02-26,0,0,0,0,0
patent filing and intellectual property protection,,2019-11-30,IP Law Firm,3753.759240860822,euro ,3753.759240860822,IP Law Firm,external services,2019-11-30,2020-03-30,,0,0,0,0,0,0,0,2020-05-30,0,0,0,0,0
purchase of 3d printer for prototyping,,2018-03-26,Manufacturing Supplies Co.,5356.784793128631,euro ,5356.784793128631,Manufacturing Supplies Co.,equipment,2018-03-26,2018-07-03,,0,0,0,0,0,0,0,2018-09-26,0,0,0,0,0
construction of greenhouse for project agriculture,,2019-03-25,Agricultural Services,12179.05586218297,euro ,12179.05586218297,Agricultural Services,infrastructure and building,2019-03-25,2019-08-01,,0,0,0,0,0,0,0,2019-09-25,0,0,0,0,0
fee for market analysis report for project proposal,,2020-02-20,Market Research Agency,1641.620044446896,euro ,1641.620044446896,Market Research Agency,preparation costs,2020-02-20,2020-03-16,,0,0,0,0,0,0,0,2020-08-20,0,0,0,0,0
bus tickets for team excursion related to project,,2018-08-30,Public Transport,202.6857705832592,euro ,202.6857705832592,Public Transport,travel costs,2018-08-30,2018-09-08,,0,0,0,0,0,0,0,2019-02-28,0,0,0,0,0
social media marketing services for project visibility,,2020-03-03,Digital Marketing Agency,3051.360801051223,euro ,3051.360801051223,Digital Marketing Agency,external services,2020-03-03,2020-06-19,,0,0,0,0,0,0,0,2020-09-03,0,0,0,0,0
acquisition of laboratory supplies for experiments,,2021-08-29,Lab Supply Store,2549.715668074859,euro ,2549.715668074859,Lab Supply Store,equipment,2021-08-29,2022-03-14,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2022-02-28,1,0,0,0,0
hiring a consultant to draft project proposal,,2022-03-01,ABC Consulting,2529.494465601272,euro ,2529.494465601272,ABC Consulting,preparation costs,2022-03-01,2022-04-30,,0,0,0,0,0,0,0,2022-09-01,0,0,0,0,0
round-trip airfare for attending project meeting,,2022-02-22,XYZ Airlines,852.1782430610526,euro ,852.1782430610526,XYZ Airlines,travel costs,2022-02-22,2022-06-13,,0,0,0,0,0,0,0,2022-08-22,0,0,0,0,0
legal advice for project contract negotiation,,2019-06-11,Law Firm LLP,1561.493378303224,euro ,1561.493378303224,Law Firm LLP,external services,2019-06-11,2019-09-21,,0,0,0,0,0,0,0,2019-12-11,0,0,0,0,0
purchase of specialized laboratory equipment,,2018-07-22,LabTech GmbH,5343.881402958943,euro ,5343.881402958943,LabTech GmbH,equipment,2018-07-22,2018-08-06,,0,0,0,0,0,0,0,2019-01-22,0,0,0,0,0
renovation of existing facility for project use,,2020-05-07,Construction Co.,10794.72740993186,euro ,10794.72740993186,Construction Co.,infrastructure and building,2020-05-07,2020-06-07,,0,0,0,0,0,0,0,2020-11-07,0,0,0,0,0
printing and binding project proposal documents,,2020-11-22,Print Works,323.434702006296,euro ,323.434702006296,Print Works,preparation costs,2020-11-22,2021-01-23,,0,0,0,0,0,0,0,2021-05-22,0,0,0,0,0
taxi fare for travel to project site,,2018-01-06,City Cab Company,54.91277467908492,euro ,54.91277467908492,City Cab Company,travel costs,2018-01-06,2018-04-20,,0,0,0,0,0,0,0,2018-07-06,0,0,0,0,0
market research study,,2018-07-09,Research Agency,2134.84919283026,euro ,2134.84919283026,Research Agency,external services,2018-07-09,2018-09-27,,0,0,0,0,0,0,0,2019-01-09,0,0,0,0,0
purchase of high-performance computer,,2018-03-26,Tech Superstore,1534.589553105152,euro ,1534.589553105152,Tech Superstore,equipment,2018-03-26,2018-09-21,,0,0,0,0,0,0,0,2018-09-26,0,0,0,0,0
installation of project-specific software,,2020-04-15,IT Solutions Inc.,3083.517403220651,euro ,3083.517403220651,IT Solutions Inc.,infrastructure and building,2020-04-15,2020-10-18,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2020-10-15,1,0,0,1,0
consultant fees for project feasibility study,,2021-12-25,Strategy Consult,3668.596931625909,euro ,3668.596931625909,Strategy Consult,preparation costs,2021-12-25,2022-07-05,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2022-06-25,1,0,0,0,0
gasoline expenses for project-related driving,,2020-03-31,Petro Fuel,108.7688797358525,euro ,108.7688797358525,Petro Fuel,travel costs,2020-03-31,2020-06-08,,0,0,0,0,0,0,0,2020-09-30,0,0,0,0,0
graphic design for project marketing materials,,2018-02-19,Design Studio,825.8517010542548,euro ,825.8517010542548,Design Studio,external services,2018-02-19,2018-06-20,,0,0,0,0,0,0,0,2018-08-19,0,0,0,0,0
acquisition of laboratory glassware,,2019-07-07,Lab Supplies Ltd.,426.5462857176628,euro ,426.5462857176628,Lab Supplies Ltd.,equipment,2019-07-07,2019-10-29,,0,0,0,0,0,0,0,2020-01-07,0,0,0,0,0
purchase of land for project expansion,,2020-06-16,Real Estate Agency,20072.24754472697,euro ,20072.24754472697,Real Estate Agency,infrastructure and building,2020-06-16,2020-06-24,,0,0,0,0,0,0,0,2020-12-16,0,0,0,0,0
writing and editing project proposal,,2018-12-21,Freelance Writer,1207.645128954004,euro ,1207.645128954004,Freelance Writer,preparation costs,2018-12-21,2019-04-27,,0,0,0,0,0,0,0,2019-06-21,0,0,0,0,0
train tickets for attending project seminar,,2021-12-17,Rail Company,304.9362046062627,euro ,304.9362046062627,Rail Company,travel costs,2021-12-17,2022-05-08,,0,0,0,0,0,0,0,2022-06-17,0,0,0,0,0
environmental impact assessment study,,2021-06-23,Environmental Co.,2692.092531291719,euro ,2692.092531291719,Environmental Co.,external services,2021-06-23,2021-07-11,,0,0,0,0,0,0,0,2021-12-23,0,0,0,0,0
procurement of industrial-grade mixer,,2022-03-14,Machinery Corp.,6269.78064145319,euro ,6269.78064145319,Machinery Corp.,equipment,2022-03-14,2022-07-29,,0,0,0,0,0,0,0,2022-09-14,0,0,0,0,0
construction of project-specific storage shed,,2019-12-10,Building Co.,8694.665226407238,euro ,8694.665226407238,Building Co.,infrastructure and building,2019-12-10,2020-04-01,,0,0,0,0,0,0,0,2020-06-10,0,0,0,0,0
researching competitor analysis for project,,2022-05-10,Market Research,1002.78137138754,euro ,1002.78137138754,Market Research,preparation costs,2022-05-10,2022-07-31,,0,0,0,0,0,0,0,2022-11-10,0,0,0,0,0
parking fees for attending project workshop,,2021-02-23,Parking Services,20.73755913716074,euro ,20.73755913716074,Parking Services,travel costs,2021-02-23,2021-05-29,,0,0,0,0,0,0,0,2021-08-23,0,0,0,0,0
translation services for project documentation,,2018-09-17,Translation Agency,418.0127800892701,euro ,418.0127800892701,Translation Agency,external services,2018-09-17,2018-10-28,,0,0,0,0,0,0,0,2019-03-17,0,0,0,0,0
purchase of laboratory chemicals,,2022-07-08,Chem Supply,720.5582788817485,euro ,720.5582788817485,Chem Supply,equipment,2022-07-08,2023-01-23,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2023-01-08,1,0,0,0,0
building a prototype testing facility,,2018-08-06,Engineering Firm,16426.96578596886,euro ,16426.96578596886,Engineering Firm,infrastructure and building,2018-08-06,2018-12-17,,0,0,0,0,0,0,0,2019-02-06,0,0,0,0,0
printing and mailing project proposal,,2018-10-08,Postal Services,211.4039309040003,euro ,211.4039309040003,Postal Services,preparation costs,2018-10-08,2018-12-13,,0,0,0,0,0,0,0,2019-04-08,0,0,0,0,0
accommodation expenses for project site visit,,2022-06-11,Hotel Chain,1267.488789203869,euro ,1267.488789203869,Hotel Chain,travel costs,2022-06-11,2022-11-07,,0,0,0,0,0,0,0,2022-12-11,0,0,0,0,0
engineering consultation for project design,,2019-07-21,Engineering Co.,1867.45620828004,euro ,1867.45620828004,Engineering Co.,external services,2019-07-21,2019-10-14,,0,0,0,0,0,0,0,2020-01-21,0,0,0,0,0
acquisition of project-specific tools,,2021-04-18,Tool Suppliers,854.8161840589238,euro ,854.8161840589238,Tool Suppliers,equipment,2021-04-18,2021-06-29,,0,0,0,0,0,0,0,2021-10-18,0,0,0,0,0
hiring a professional grant writer to craft a compelling project proposal,,2021-01-06,WriteWell Agency,1503.860164004557,euro ,1503.860164004557,WriteWell Agency,preparation costs,2021-01-06,2021-05-24,,0,0,0,0,0,0,0,2021-07-06,0,0,0,0,0
roundtrip plane tickets for project team members to attend an international conference,,2019-10-06,Skyline Airlines,3608.052977708582,euro ,3608.052977708582,Skyline Airlines,travel costs,2019-10-06,2020-01-19,,0,0,0,0,0,0,0,2020-04-06,0,0,0,0,0
legal consultation on intellectual property rights,,2022-12-14,LegalEase Law Firm,2589.334484491514,euro ,2589.334484491514,LegalEase Law Firm,external services,2022-12-14,2023-04-27,,0,0,0,0,0,0,0,2023-06-14,0,0,0,0,0
purchase of laboratory equipment for conducting experiments,,2022-09-06,LabTech Inc.,5201.753871536362,euro ,5201.753871536362,LabTech Inc.,equipment,2022-09-06,2022-09-17,,0,0,0,0,0,0,0,2023-03-06,0,0,0,0,0
renovation of a laboratory space to meet safety regulations,,2022-01-23,BuildRite Construction,8166.450246377281,euro ,8166.450246377281,BuildRite Construction,infrastructure and building,2022-01-23,2022-07-30,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2022-07-23,1,0,0,0,0
hiring a graphic designer to create visually appealing project visuals,,2018-11-29,DesignGenius Studio,1301.32734550037,euro ,1301.32734550037,DesignGenius Studio,preparation costs,2018-11-29,2019-05-18,,0,0,0,0,0,0,0,2019-05-29,0,0,0,0,0
train tickets for project team members to attend a workshop in a neighboring city,,2018-06-23,RailTrack Inc.,822.5034759224702,euro ,822.5034759224702,RailTrack Inc.,travel costs,2018-06-23,2018-09-05,,0,0,0,0,0,0,0,2018-12-23,0,0,0,0,0
market research conducted by a specialized agency,,2021-09-13,Insight Analytics,3053.203371577032,euro ,3053.203371577032,Insight Analytics,external services,2021-09-13,2022-02-25,,0,0,0,0,0,0,0,2022-03-13,0,0,0,0,0
purchase of high-performance computing servers for data analysis,,2019-03-09,ComputeTech Ltd.,10230.85235287234,euro ,10230.85235287234,ComputeTech Ltd.,equipment,2019-03-09,2019-06-23,,0,0,0,0,0,0,0,2019-09-09,0,0,0,0,0
construction of a greenhouse facility for botanical research,,2019-03-31,GreenThumb Construction,15530.13828669565,euro ,15530.13828669565,GreenThumb Construction,infrastructure and building,2019-03-31,2019-09-13,,0,0,0,0,0,0,0,2019-09-30,0,0,0,0,0
printing and binding of project proposal documents,,2020-11-30,PrintPro Services,532.5603505855911,euro ,532.5603505855911,PrintPro Services,preparation costs,2020-11-30,2020-12-26,,0,0,0,0,0,0,0,2021-05-30,0,0,0,0,0
rental car expenses for on-site visits to project partner institutions,,2022-10-02,DriveEasy Rentals,626.7069818748516,euro ,626.7069818748516,DriveEasy Rentals,travel costs,2022-10-02,2022-11-20,,0,0,0,0,0,0,0,2023-04-02,0,0,0,0,0
consultation with environmental experts for ecological impact assessment,,2020-07-08,EcoConsultancy Firm,4235.238346796778,euro ,4235.238346796778,EcoConsultancy Firm,external services,2020-07-08,2020-10-19,,0,0,0,0,0,0,0,2021-01-08,0,0,0,0,0
acquisition of specialized software licenses for simulation modeling,,2021-11-15,SimulateSoft Inc.,3154.465575567518,euro ,3154.465575567518,SimulateSoft Inc.,equipment,2021-11-15,2022-03-11,,0,0,0,0,0,0,0,2022-05-15,0,0,0,0,0
purchase of renewable energy systems for sustainable project operations,,2021-11-21,GreenEnergy Solutions,12858.10418621376,euro ,12858.10418621376,GreenEnergy Solutions,infrastructure and building,2021-11-21,2022-02-16,,0,0,0,0,0,0,0,2022-05-21,0,0,0,0,0
translation services for project documents into multiple languages,,2018-04-25,LinguaTech Translations,2054.771865283897,euro ,2054.771865283897,LinguaTech Translations,preparation costs,2018-04-25,2018-10-25,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2018-10-25,0,0,0,0,0
reimbursement of mileage for project team members driving to field sites,,2021-03-04,MileMaster Fuels,417.2741769665551,euro ,417.2741769665551,MileMaster Fuels,travel costs,2021-03-04,2021-05-22,,0,0,0,0,0,0,0,2021-09-04,0,0,0,0,0
geological survey conducted by geotechnical engineers,,2020-02-04,EarthWorks Geology,6001.914686789753,euro ,6001.914686789753,EarthWorks Geology,external services,2020-02-04,2020-02-13,,0,0,0,0,0,0,0,2020-08-04,0,0,0,0,0
procurement of specialized medical equipment for clinical trials,,2019-08-02,MediTech Solutions,7588.469598748823,euro ,7588.469598748823,MediTech Solutions,equipment,2019-08-02,2019-08-30,,0,0,0,0,0,0,0,2020-02-02,0,0,0,0,0
installation of solar panels on project site for renewable energy generation,,2018-05-28,SolarTech Installations,10792.58000660714,euro ,10792.58000660714,SolarTech Installations,infrastructure and building,2018-05-28,2018-07-27,,0,0,0,0,0,0,0,2018-11-28,0,0,0,0,0
hiring a project manager to oversee the coordination and implementation of project activities,,2022-05-23,ProManage Consulting,3259.915180988436,euro ,3259.915180988436,ProManage Consulting,preparation costs,2022-05-23,2022-10-22,,0,0,0,0,0,0,0,2022-11-23,0,0,0,0,0
accommodation expenses for project team members attending a week-long training seminar,,2020-02-20,StayInn Hotels,2011.770256266677,euro ,2011.770256266677,StayInn Hotels,travel costs,2020-02-20,2020-05-03,,0,0,0,0,0,0,0,2020-08-20,0,0,0,0,0
marketing consultancy services for promoting project outcomes,,2020-04-01,MarketMasters Agency,3777.09897015679,euro ,3777.09897015679,MarketMasters Agency,external services,2020-04-01,2020-07-01,,0,0,0,0,0,0,0,2020-10-01,0,0,0,0,0
